iter	Logloss
0	0.6719427786
1	0.6523159762
2	0.6374045143
3	0.62538932
4	0.613585016
5	0.6050949192
6	0.5976614258
7	0.5921009845
8	0.5851318443
9	0.5799840575
10	0.5752697292
11	0.5732624086
12	0.5697048686
13	0.5675647091
14	0.5647680406
15	0.5622207853
16	0.5597407684
17	0.5571560863
18	0.555774263
19	0.5538727537
20	0.5525163374
21	0.5509919285
22	0.5498561346
23	0.547301383
24	0.5455374331
25	0.5438656042
26	0.542429315
27	0.5409666514
28	0.5397785735
29	0.5390552206
30	0.5379038642
31	0.5371219655
32	0.5361930036
33	0.5354365971
34	0.5342790161
35	0.5330058419
36	0.532812701
37	0.5323882817
38	0.5318116075
39	0.531292711
40	0.530454807
41	0.5293361089
42	0.5289472669
43	0.528408031
44	0.5274036432
45	0.5270146667
46	0.5261298542
47	0.5256730997
48	0.5252641989
49	0.5247116481
50	0.5243348009
51	0.5237609542
52	0.5230257872
53	0.5226797793
54	0.5219663211
55	0.5216955904
56	0.5216801231
57	0.521117855
58	0.5210620275
59	0.5202750801
60	0.520011378
61	0.5198123425
62	0.519489968
63	0.5191570302
64	0.5186984719
65	0.5182262244
66	0.5180439699
67	0.5175577779
68	0.5171020323
69	0.5167420577
70	0.5165939191
71	0.5163626491
72	0.5162583485
73	0.5159050634
74	0.5157952098
75	0.5152360038
76	0.5148224963
77	0.5145399948
78	0.514328104
79	0.5138258135
80	0.5133228485
81	0.5131558902
82	0.5120376371
83	0.5112995692
84	0.510244628
85	0.5100919976
86	0.509811935
87	0.5091680868
88	0.5090847107
89	0.5084592657
90	0.5078689677
91	0.5071918283
92	0.50652022
93	0.506274655
94	0.5059821267
95	0.5055518932
96	0.505054046
97	0.5047749868
98	0.5044426225
99	0.5041039675
100	0.503930993
101	0.5038295312
102	0.5034223978
103	0.502810339
104	0.5025110692
105	0.5015762457
106	0.5012542883
107	0.5008383729
108	0.5006934636
109	0.5002440692
110	0.4999292301
111	0.4998614698
112	0.4995614976
113	0.4990105567
114	0.4989153169
115	0.4988790706
116	0.4983132681
117	0.4976635746
118	0.4970605733
119	0.4964301688
120	0.4957225976
121	0.4952762027
122	0.4945845632
123	0.4942900579
124	0.4938695017
125	0.4934733641
126	0.4931883341
127	0.4929774025
128	0.4927848748
129	0.4920795401
130	0.491476044
131	0.4912247976
132	0.4908413778
133	0.4899354499
134	0.4897109592
135	0.4891039314
136	0.4887610405
137	0.4884315306
138	0.4882531119
139	0.4881314517
140	0.4873899812
141	0.4869472577
142	0.4865930989
143	0.4865791416
144	0.4858141707
145	0.4854499549
146	0.4847100341
147	0.4841593947
148	0.4836745182
149	0.4834107955
150	0.4832261376
151	0.4827933095
152	0.4823666284
153	0.4821172322
154	0.4817289672
155	0.4814867511
156	0.4807229515
157	0.4802285575
158	0.4799629528
159	0.4796281986
160	0.4792602562
161	0.4786083275
162	0.4780794995
163	0.477426233
164	0.4771793113
165	0.4767264261
166	0.4759843579
167	0.4757734004
168	0.4747464091
169	0.4746699215
170	0.4740329235
171	0.4740043694
172	0.473611193
173	0.4731144292
174	0.4727392661
175	0.4726705474
176	0.4722998717
177	0.4718776076
178	0.4717060113
179	0.4715644439
180	0.4711609402
181	0.4708551897
182	0.470419854
183	0.4699477391
184	0.4697814327
185	0.4693434994
186	0.4688702868
187	0.4685509687
188	0.4680608789
189	0.4679390984
190	0.4673967717
191	0.4671021666
192	0.4668288472
193	0.4666676247
194	0.4662945735
195	0.4658054406
196	0.4657647903
197	0.4655037986
198	0.4649024145
199	0.4643814322
